#{"t_start": 1747523962.9248097, "env_id": "None"}
r,l,t
8.754833,10,237.035168
7.186757,10,237.087976
8.70967,10,237.140028
9.196141,11,237.182231
7.9087806,9,237.21764
8.05028,9,237.248538
8.593296,10,237.302654
0.95000005,10,237.366137
8.100053,10,237.407192
8.1618,11,237.436395
0.99999994,11,237.472481
8.119675,10,237.50737
8.280427,11,237.54414
7.5961537,11,237.576549
7.4502068,11,237.605383
7.375595,10,237.628474
6.052435,10,237.654925
6.4093933,10,237.686718
9.744871,10,237.711248
4.7587366,10,237.742377
9.004576,10,237.776171
8.378691,10,237.803939
3.15,10,237.828001
8.4025755,10,237.857569
6.7313166,10,237.881851
7.633322,10,237.906157
9.647225,10,237.929385
8.108216,10,237.956443
8.367623,11,237.999749
8.5100975,10,238.034171
5.283191,10,238.07205
5.7178965,10,238.100637
7.4371057,10,238.125732
2.8753574,11,238.151404
6.522056,11,238.184441
8.271715,10,238.213643
10.019837,11,238.247505
7.5109906,9,238.276468
5.706273,10,238.308072
6.690603,11,238.353241
5.9382873,10,238.387735
9.393139,11,238.426156
8.2635355,10,238.456211
2.9874053,9,238.490244
7.618794,10,238.524863
4.621169,11,238.558727
0.39999995,10,238.584443
8.084708,10,238.609375
7.2882795,11,240.47907
10.093095,10,240.519077
5.8083544,11,240.561089
0.6,10,240.595077
8.672423,11,240.630532
6.403805,11,240.664442
5.432411,10,240.703671
7.775184,11,240.749133
5.317647,10,240.782202
5.1547246,10,240.813305
8.173919,10,240.841707
8.267706,12,240.884595
9.193494,10,240.92927
9.663621,10,240.968711
8.885277,10,241.018346
8.443893,10,241.04506
1.75,9,241.078585
9.050802,9,241.113009
10.232204,10,241.15852
10.526858,10,241.192186
3.8836365,11,241.219462
3.9270253,10,241.253013
7.795694,10,241.283619
2.7162826,10,241.31485
7.9758205,10,241.350168
7.8816566,10,241.41176
3.869721,10,241.446843
9.6172905,10,241.471814
5.8480697,10,241.50144
3.6101806,10,241.526846
4.759501,10,241.549353
8.3990965,11,241.576479
7.366728,11,241.601636
-0.59999996,11,241.627417
6.639924,8,241.645382
0.9500002,9,241.665046
3.5968647,10,241.690866
8.255003,10,241.725724
6.6621604,10,241.761444
6.260041,9,241.783166
3.9568002,10,241.80844
7.745789,10,241.835014
8.415586,11,241.862032
8.488789,10,241.888992
8.254189,9,241.910642
3.2,10,241.936061
7.5727487,9,241.959325
8.289099,11,241.985499
8.254271,11,242.030124
8.260643,9,242.063896
7.420483,10,242.110242
4.626846,10,242.149169
4.4640946,10,242.182615
8.705104,11,242.219663
4.830749,10,242.25893
8.856862,10,242.297155
9.822889,10,242.330339
7.359441,10,242.374588
4.0112734,11,242.412315
6.749551,9,242.437628
8.362901,10,242.472543
10.997099,10,242.514892
7.9996514,11,242.54993
8.5368395,10,242.582245
1.7574,11,242.614395
3.9718444,10,242.657371
7.1487746,9,242.70092
5.777664,10,242.742852
5.8715854,10,242.777905
5.955616,9,242.819239
9.396841,11,242.85099
6.97811,11,242.888551
5.9591513,10,242.927178
2.6999998,10,242.953929
8.815654,10,242.993775
7.363219,10,243.034242
6.8281813,10,243.080503
8.242574,11,243.131928
6.642969,10,243.164033
4.3056498,10,243.189428
8.332051,11,243.217523
2.5162442,10,243.264946
0.8500001,11,243.298509
4.219154,10,243.328326
0.19999999,10,243.361732
8.962258,10,243.411281
8.727911,11,243.452989
6.8694158,11,243.501741
5.517245,11,243.527283
7.187572,11,243.55506
8.1788645,9,243.574916
8.779035,10,243.599863
1.7000002,9,243.633886
3.5,9,243.666448
8.588502,10,243.694882
3.7580383,10,243.729465
7.964627,11,243.782515
5.3064833,10,243.813808
6.4110503,11,243.859455
6.727033,10,243.887569
7.9939694,10,243.918355
7.3167486,9,245.703195
9.133745,11,245.744979
5.310255,11,245.794017
8.642149,11,245.851378
4.62222,11,245.89429
1.0777473,10,245.925906
7.0548143,11,245.970637
8.592104,10,245.998123
8.479166,8,246.020312
5.993001,10,246.054701
4.2333674,10,246.109194
1.7520087,9,246.149331
6.6241684,11,246.184777
6.714999,11,246.215916
7.675845,8,246.238572
8.091642,10,246.28445
6.645431,10,246.331432
8.0776415,10,246.356193
8.330997,10,246.383909
8.463963,10,246.414895
7.808869,10,246.4476
9.163916,10,246.491775
6.1670346,9,246.523179
2.187688,9,246.550221
8.405436,10,246.58286
5.513189,10,246.62128
4.2999997,9,246.6563
5.595901,9,246.703524
7.717335,11,246.780422
10.014186,10,246.824691
3.6401553,10,246.864104
3.7332468,11,246.919184
6.890578,10,246.956647
6.335217,10,246.98469
5.513921,10,247.015063
5.5896096,10,247.042977
1.9232807,10,247.069263
6.234598,10,247.096845
7.945525,11,247.130343
8.37862,11,247.164016
8.85199,10,247.206471
8.063229,10,247.253465
8.804977,10,247.283891
4.4353204,10,247.312034
8.085312,10,247.360225
6.2262273,10,247.40242
7.933962,9,247.441407
9.1108055,9,247.467805
9.2857,10,247.493391
4.5855403,10,247.522357
7.7510824,11,247.562364
8.186206,11,247.593733
9.065352,10,247.626436
7.944341,10,247.659325
9.411572,10,247.690162
10.604238,10,247.740863
7.4957666,10,247.779159
8.297182,10,247.810862
7.093763,11,247.854734
4.3,8,247.882639
3.3000002,10,247.937532
5.377062,10,247.996378
8.349501,10,248.056044
7.9965277,11,248.111426
5.4627724,10,248.152711
3.7023113,10,248.182693
8.182074,9,248.206922
1.9000001,9,248.229199
1.5,10,248.257158
8.410449,10,248.281241
6.513431,11,248.308454
8.696416,11,248.342932
8.001237,10,248.373628
8.758112,10,248.401118
6.7229314,10,248.442301
2.4914618,11,248.478983
10.111757,11,248.510793
3.1000004,9,248.532844
6.844475,10,248.567529
9.128248,9,248.603108
5.2647977,10,248.639493
7.927571,11,248.68074
4.9218936,10,248.708127
8.56388,11,248.739795
6.6672635,11,248.773021
9.711303,8,248.815952
2.4490237,11,248.857419
8.101053,11,248.888626
7.197214,11,248.916934
8.384405,10,248.944034
6.86726,11,248.972326
6.031897,11,249.019186
1.95,9,249.057551
3.9783213,11,249.089698
6.1629033,10,249.115054
1.6030285,10,249.144204
8.644632,11,249.190891
7.0497637,10,249.218899
8.724575,11,249.257723
10.015125,10,249.285891
7.867433,12,249.315525
6.365897,10,251.025249
9.824361,10,251.056213
10.219876,9,251.080855
6.3422837,10,251.103879
3.5500002,9,251.129031
4.1723237,10,251.153377
5.978131,11,251.178002
6.5209575,10,251.213098
2.0000002,9,251.240272
5.8321466,11,251.293319
7.2026825,10,251.319486
5.014761,11,251.347187
5.102892,11,251.376383
5.838622,10,251.414779
6.170074,11,251.466297
4.543174,9,251.490795
9.492573,10,251.51588
6.0402236,11,251.545914
7.1423006,10,251.571461
7.927445,10,251.596745
6.3727274,8,251.615124
8.29845,11,251.64235
8.078272,10,251.686413
7.541403,10,251.72084
7.9472938,10,251.756939
1.25,9,251.781892
3.7794225,11,251.815523
-0.3,11,251.847748
8.0900755,10,251.883647
7.463615,10,251.919965
8.990176,11,252.164659
5.9575605,10,252.205101
5.9679217,12,252.256613
5.450626,10,252.283453
2.75,9,252.306358
9.266162,10,252.343827
5.0727396,12,252.385346
5.764066,10,252.41199
7.101854,11,252.438845
6.8840504,10,252.481194
8.525248,11,252.527834
9.68022,10,252.560409
8.266819,11,252.601228
8.920676,10,252.628713
9.093432,10,252.674228
-0.34999996,11,252.708753
7.9702964,10,252.745583
6.364127,9,252.775454
6.546099,10,252.816801
7.5613933,10,252.850773
4.0,9,252.893046
8.541065,10,252.922844
3.25,11,252.952681
7.200001,11,252.981976
9.022732,10,253.011632
7.8101454,11,253.040449
8.113597,11,253.070284
2.6000001,9,253.094696
8.261589,9,253.131778
7.2156453,11,253.189373
4.950001,11,253.245004
7.754549,11,253.277634
6.9413633,9,253.301437
7.357545,10,253.330341
5.522207,10,253.357992
8.519164,11,253.394829
7.309243,10,253.430731
6.155948,12,253.468054
6.8965673,9,253.514171
8.493254,10,253.550817
8.053827,11,253.587628
7.652691,11,253.63204
4.465911,11,253.673221
7.518613,11,253.706327
5.50735,11,253.741454
7.7802296,11,253.778365
8.957502,10,253.828505
5.368676,10,253.866636
8.076822,10,253.905361
8.201665,11,253.934509
6.9277744,10,253.972877
6.2807183,10,254.021802
4.6500006,9,254.045854
7.8487625,10,254.068074
7.515917,9,254.091305
3.2470806,10,254.11526
0.6397097,10,254.138522
10.083345,11,254.17462
6.7951903,11,254.241927
4.8498244,10,254.282547
6.3321176,11,254.325189
5.968716,11,254.355794
0.55,10,254.381476
3.65,9,254.405062
6.741897,10,254.431451
7.8545914,10,254.460413
8.244969,10,254.5014
7.9532986,11,254.547657
8.982554,10,254.577706
4.743641,11,255.854947
6.653972,10,257.589681
7.265145,10,257.624958
7.33578,9,257.658551
10.673665,11,257.714611
7.3531017,11,257.774985
10.132522,10,257.809927
8.227777,11,257.849486
5.458049,11,257.890573
7.6372743,10,257.930565
7.0098863,10,257.976701
7.739065,10,258.025053
3.3447819,11,258.06246
8.149253,10,258.101632
8.373243,11,258.137421
7.9643264,10,258.169577
8.907272,10,258.200551
6.395217,10,258.235301
8.217747,9,258.264143
10.464383,11,258.308642
8.692282,10,258.348338
5.607666,10,258.39162
7.625238,11,258.42498
0.30850622,11,258.464472
4.22046,10,258.497658
5.0513144,11,258.524185
6.7114615,10,258.550608
5.273856,11,258.580069
8.454714,10,258.611452
9.216122,11,258.645841
6.9898467,10,258.68827
2.2512836,10,258.721298
7.3186026,10,258.761151
9.024313,10,258.811991
8.395726,11,258.855068
7.0311227,10,258.88547
8.375691,11,258.931831
7.332703,11,258.98753
5.6802444,10,259.035492
7.4492545,11,259.081908
7.577749,12,259.137738
7.81852,10,259.18421
1.25,9,259.214275
3.7153642,10,259.264927
6.135197,10,259.307618
-5.3500004,9,259.340554
1.0,11,259.400932
5.792384,11,259.458941
8.275423,11,259.507798
1.0500001,10,259.552867
0.19999999,10,259.579682
4.471183,10,259.603141
8.888344,11,259.630562
6.714523,10,259.653967
8.565438,11,259.67838
4.1510296,11,259.706419
8.010278,10,259.729017
7.890749,10,259.756407
7.34348,10,259.789221
8.454342,10,259.812474
3.15,10,259.84113
5.287244,10,259.873974
7.425445,10,259.911387
6.229464,11,259.956698
2.6120768,11,259.999193
7.4154844,10,260.029521
7.6130924,11,260.061834
6.23336,10,260.097853
7.685628,9,260.141162
1.3873444,11,260.186184
8.0521965,11,260.229
7.6911016,9,260.25444
8.620505,10,260.284039
2.8753886,11,260.328561
8.679342,10,260.357719
6.497189,9,260.399279
7.475065,10,260.433804
7.8152704,10,260.462568
8.044805,11,260.508385
8.030543,11,260.544018
7.4079742,12,260.598128
8.99589,10,260.644952
8.463161,10,260.686257
5.7574506,11,260.742201
5.7196264,10,260.789023
6.639756,10,260.846005
8.665543,10,260.876225
7.7994475,10,260.904688
6.314527,10,260.949902
7.480256,10,260.996749
7.110185,10,261.024872
9.0565195,9,261.058279
8.540847,10,261.08163
4.9302444,10,261.112055
7.7958827,10,261.13689
9.131795,8,261.156531
4.2688055,11,261.185899
7.2339773,10,261.216958
3.2388089,10,261.24436
7.6069164,10,261.281701
8.857092,10,261.313013
3.138629,10,262.952263
4.7862387,10,262.999305
6.908951,10,263.042244
5.7486963,9,263.070789
7.212637,9,263.107274
7.715423,10,263.139987
8.6631,11,263.181079
9.276317,11,263.211638
6.3146124,10,263.242544
7.1603785,10,263.285298
8.288115,10,263.324106
5.363292,10,263.362565
8.729275,10,263.392589
9.863333,11,263.42335
8.347102,10,263.459425
8.121304,10,263.500115
8.871138,11,263.551245
6.4672785,11,263.581324
8.76015,11,263.617365
6.2785373,10,263.65862
7.06504,10,263.7113
5.669669,10,263.757848
8.135997,10,263.78787
8.046856,10,263.835668
8.870373,11,263.878727
8.545007,11,263.91076
7.565339,11,263.940807
-0.09999999,11,263.967511
10.218347,10,263.991842
1.1837145,11,264.041679
6.730874,10,264.071286
4.3,11,264.106436
6.3761964,10,264.136219
4.696341,10,264.167049
9.9843645,10,264.199265
7.0183964,11,264.236216
6.948952,9,264.260885
8.702822,11,264.297126
3.1,11,264.347573
8.729222,10,264.383673
8.7176695,10,264.4338
3.4316092,9,264.465627
7.9453144,11,264.516524
6.751459,10,264.544387
9.8799,11,264.579476
5.636105,11,264.625764
7.836534,11,264.676031
5.3113346,9,264.717056
10.688473,11,264.764594
1.4000001,10,264.802176
3.4000003,10,264.836444
7.179099,10,264.867527
8.986367,11,264.90432
1.4952385,10,264.930858
1.25,11,264.960055
5.3623953,9,264.983116
8.85195,10,265.0212
7.8101163,11,265.058725
8.225902,11,265.097519
8.061253,11,265.141282
9.525261,11,265.180206
8.39941,9,265.231498
8.654424,11,265.289329
1.0500001,10,265.326179
4.2201624,10,265.354211
2.7000003,10,265.394006
5.3276772,11,265.440775
7.2353687,11,265.47595
1.35,11,265.505267
0.4000001,10,265.531519
3.1977837,10,265.558398
8.603633,11,265.589554
7.199761,11,265.620647
4.727393,10,265.656751
7.3358455,10,265.697672
7.872251,10,265.742246
7.864846,11,265.775842
9.178438,10,265.806736
9.381348,11,265.875835
7.579465,11,265.932978
6.6862526,10,265.98027
0.39999992,11,266.019329
1.9603395,10,266.062676
8.67382,11,266.089822
8.438868,10,266.117896
4.892934,10,266.165521
8.302391,10,266.219753
7.624983,9,266.247188
9.497063,11,266.274837
4.8716555,9,266.309571
7.226261,10,266.35607
8.131887,10,266.382608
4.186784,10,266.407387
9.223472,9,266.427201
8.759592,10,266.454782
5.0660696,11,266.494105
2.8000002,11,266.531301
7.8470426,11,266.573269
6.6400127,10,266.608438
4.4948773,10,268.337488
6.661321,11,268.368381
5.7696185,9,268.405072
7.481957,12,268.448755
8.950448,10,268.477244
-0.7,10,268.512926
9.111839,10,268.565424
7.233205,11,268.608996
1.7,10,268.652086
10.2260475,10,268.678137
6.743551,11,268.715407
5.881857,12,268.744981
9.059835,10,268.76883
7.7222214,10,268.792943
7.560885,10,268.818406
7.996173,10,268.859014
6.5877414,11,268.907748
10.136565,11,268.939846
8.132939,9,268.97066
4.3196983,11,269.013365
10.9298935,10,269.052294
9.184855,11,269.098802
7.741099,10,269.126318
6.6258416,10,269.164395
5.919927,11,269.200403
7.845745,10,269.235402
5.833643,9,269.260222
3.9775224,10,269.291101
4.124819,11,269.325433
8.709593,10,269.367626
3.707165,10,269.401824
-0.05,9,269.427901
5.7177124,10,269.460566
3.3999999,11,269.504777
7.3080845,10,269.551647
5.5963798,11,269.595404
0.6,11,269.630581
7.1936045,11,269.681504
6.9963026,10,269.725709
8.383387,9,269.756115
6.746006,11,269.797999
8.4950285,10,269.833326
0.8331341,10,269.872327
9.750041,11,269.925025
8.531374,11,269.963433
7.404892,9,269.997702
8.224685,9,270.03875
3.85,10,270.065759
8.127319,11,270.106263
6.22394,10,270.145678
4.932683,11,270.203199
6.7607765,11,270.24086
8.674884,12,270.271928
6.7405972,10,270.300907
3.5,10,270.32631
7.179189,10,270.354147
8.921282,10,270.379857
7.814187,10,270.404017
8.865695,11,270.430805
7.9843235,11,270.455657
-0.35000002,10,270.489891
8.064025,11,270.527755
8.590463,11,270.568654
8.607376,11,270.618695
8.567106,10,270.654751
0.46328515,11,270.695124
7.076984,10,270.741004
6.291684,11,270.783746
7.533531,10,270.824989
6.956662,9,270.859954
7.65165,10,270.918658
8.394746,10,270.962745
8.955915,10,270.997432
8.862911,12,271.031762
8.60704,11,271.061356
7.442425,12,271.094864
6.8545194,10,271.130011
4.9216957,9,271.152463
7.105564,10,271.176055
7.160844,11,271.206323
8.572767,10,271.231209
7.5217824,11,271.273196
7.1453843,10,271.31328
7.6509,11,271.359109
8.082928,11,271.397239
5.9775233,9,271.426554
5.6771326,9,271.468638
1.3500001,10,271.515951
5.6646404,10,271.543459
2.4,9,271.581447
7.732027,10,271.604867
7.3632145,11,271.656208
8.535357,11,271.686446
9.685781,10,271.712632
4.4726677,10,271.74087
1.6500001,9,271.76472
7.8276057,10,271.787979
7.207287,10,271.811581
7.243036,12,271.849553
4.5647287,11,273.693825
6.662551,9,273.725838
7.862835,11,273.769338
8.599502,9,273.798988
7.7343993,11,273.835382
8.3325405,11,273.868643
4.851383,11,273.903584
9.001608,10,273.949381
6.3993616,10,273.988988
9.985452,10,274.014213
7.9450226,10,274.03808
4.458737,9,274.059759
1.9231136,11,274.086112
3.1539896,10,274.109789
9.514809,10,274.131948
6.9265695,9,274.154876
7.632863,11,274.17891
8.68891,10,274.202446
4.9043236,10,274.225139
6.276545,10,274.272148
8.849255,10,274.305768
6.062687,11,274.337821
9.565055,9,274.368356
8.6374035,10,274.396306
8.15343,10,274.435629
8.764412,10,274.482465
6.0893607,10,274.528723
3.2415328,11,274.564264
5.7228475,11,274.592506
6.1868978,10,274.615614
4.144518,11,274.640515
9.563634,10,274.669058
9.7549715,11,274.715015
2.2081711,10,274.74879
8.613091,10,274.789568
7.3535995,10,274.83548
6.391073,11,274.869041
8.558908,9,274.907482
7.882466,11,274.953776
5.3361664,10,275.007377
6.9085474,10,275.04756
7.542827,12,275.104743
6.873413,10,275.155994
3.3,11,275.198313
8.281147,11,275.227468
7.074586,11,275.252575
6.384538,10,275.275585
7.1949463,10,275.310139
8.025825,12,275.352078
7.949953,10,275.391526
7.2098303,11,275.430186
7.5377507,11,275.470664
1.1000001,10,275.509654
8.715793,11,275.536542
2.0402892,10,275.57703
7.992229,10,275.602515
7.1571465,10,275.641665
7.7793,10,275.679656
9.088391,10,275.712259
7.4115677,11,275.737736
7.715541,10,275.766863
6.401,11,275.813754
7.3839855,10,275.836774
8.083398,11,275.873808
6.6064553,11,275.89967
7.150688,11,275.924846
3.026565,11,275.99424
7.5971775,11,276.029689
9.038266,10,276.072858
9.680658,10,276.102495
4.5730586,11,276.13251
6.907588,10,276.157325
10.503044,10,276.194133
8.59109,11,276.244793
5.3596926,11,276.300113
6.8044057,11,276.347745
4.6036367,11,276.395711
6.337749,11,276.421174
8.47467,11,276.461636
8.277292,11,276.488817
6.454802,10,276.521753
8.840718,11,276.554419
6.6735697,13,276.603959
7.9390335,11,276.644256
8.438613,11,276.683175
8.281521,10,276.713469
8.974038,10,276.739143
7.0464897,11,276.779353
9.812535,10,276.812065
5.977606,9,276.851959
1.8441725,10,276.881408
1.1000001,11,276.92569
8.6194105,10,276.978858
4.334419,11,277.029902
9.2918415,10,277.055381
8.023683,10,277.082124
8.158601,10,277.114762
6.3685336,10,277.138299
6.4713173,10,278.84582
3.731742,10,278.879879
8.529161,10,278.906527
10.351639,11,278.935641
7.546606,11,278.975718
7.44649,11,279.004305
6.9514065,12,279.033648
9.645512,10,279.058324
6.6745768,11,279.107467
4.9641647,12,279.147715
8.926798,10,279.18248
5.449206,10,279.220029
4.9488983,11,279.252751
8.039144,9,279.290943
8.385095,10,279.338119
6.7669325,11,279.379754
9.113551,10,279.41317
8.137262,11,279.451104
3.15,11,279.487019
8.973595,9,279.524094
0.90000004,12,279.571135
6.3449287,11,279.62144
1.9000003,8,279.64135
6.3259907,11,279.671668
8.061502,10,279.708481
6.799939,11,279.764385
9.410456,11,279.804476
5.8149467,10,279.834409
7.180884,10,279.878786
8.397358,10,279.913303
6.8519554,11,279.946288
7.3418136,10,279.991872
0.20000002,9,280.031362
9.230907,11,280.075968
8.4090185,10,280.098408
7.827749,11,280.12523
6.9706817,10,280.148106
5.2500005,11,280.17571
7.261223,10,280.198675
5.327262,12,280.227653
6.8298097,10,280.25594
2.7096665,10,280.287193
3.2432475,10,280.33444
8.123889,10,280.38031
8.144727,10,280.411031
8.479829,10,280.437164
8.590949,11,280.475558
7.2732,10,280.50174
9.433681,12,280.546706
4.65,9,280.571803
9.584432,10,280.597426
4.364852,7,280.618664
7.9949493,11,280.645384
8.331042,10,280.677558
7.833206,12,280.718353
9.098131,11,280.754209
6.7440453,10,280.787854
3.5425637,11,280.833679
8.87747,11,280.885882
8.859829,10,280.924951
4.675564,9,280.964172
3.0928993,11,281.022093
9.921165,10,281.065627
2.4,10,281.09937
4.5109806,10,281.128655
2.767779,11,281.165366
6.9523535,10,281.191944
2.55,9,281.216565
8.687688,10,281.244274
0.9,9,281.272409
7.866889,11,281.300553
9.776168,10,281.333316
3.1000001,10,281.361613
7.9746766,11,281.395311
6.4628625,9,281.424874
4.833276,11,281.448731
7.787831,9,281.472109
4.186966,10,281.495365
4.766477,9,281.518531
8.462273,11,281.545082
9.017003,11,281.570761
8.500713,10,281.59503
5.921055,10,281.624927
6.1714897,10,281.660816
3.8824325,11,281.691707
7.6966367,11,281.721027
4.404472,11,281.746799
-0.050000012,11,281.778275
7.6243706,9,281.810158
4.693923,10,281.851168
10.674526,10,281.885771
7.7052493,11,281.920639
8.782632,10,281.951776
8.639213,10,282.010907
4.6362505,10,282.04858
2.559861,10,282.078537
2.1,10,282.122437
8.925932,10,282.148916
2.6822116,11,282.191659
1.4,10,282.229145
7.872715,11,284.12879
8.230261,10,284.160209
9.961592,10,284.204608
6.0830894,10,284.259571
8.294506,10,284.291741
7.932237,11,284.324084
9.462906,11,284.358772
6.158282,11,284.393801
2.75,11,284.430038
9.135794,11,284.476055
7.627172,11,284.522168
0.6,10,284.549079
12.336357,11,284.577008
4.786939,10,284.60178
7.508013,10,284.627512
7.4044,9,284.649334
4.777129,9,284.685121
7.4941907,11,284.717869
8.42523,11,284.77349
5.562514,11,284.830743
5.821867,10,284.872841
9.159157,10,284.897495
6.642404,9,284.918545
6.4721656,11,284.951149
6.940855,10,284.973429
2.0500002,9,285.002732
8.821569,10,285.026348
8.782261,10,285.078081
5.9282093,11,285.12368
5.2282534,10,285.149053
7.0040355,10,285.176786
9.177531,11,285.203176
5.988559,10,285.248087
6.755681,10,285.281263
7.7992444,11,285.313231
4.9303737,9,285.335345
9.902791,10,285.371474
7.781261,9,285.408237
0.0,11,285.446523
7.627654,11,285.482423
5.901521,10,285.513165
4.382972,10,285.546388
2.6511154,10,285.585513
7.5425267,10,285.612592
1.9,10,285.647063
2.3000002,10,285.68233
7.837017,10,285.713075
10.921367,10,285.739229
4.0302606,10,285.767481
9.067011,9,285.803787
2.673738,11,285.840377
7.8426237,9,285.868734
3.0338175,9,285.894586
3.8000002,10,285.925173
8.210527,10,285.960971
5.6169314,10,285.990926
6.2442355,10,286.022467
7.5814657,12,286.081026
8.127253,9,286.113208
7.6410823,10,286.140327
9.102844,10,286.168515
7.96044,10,286.19345
6.8341794,11,286.223601
7.366594,10,286.247184
8.2560425,10,286.275001
5.376319,10,286.303071
8.341774,11,286.35643
6.093726,9,286.386211
8.862265,10,286.420951
5.96584,10,286.450545
7.6948843,10,286.490831
5.606058,10,286.521619
9.311336,11,286.550076
5.046026,10,286.580856
8.3058815,10,286.628039
7.6877294,12,286.666113
9.581813,10,286.690248
4.5697346,10,286.714634
9.786582,10,286.746103
8.196188,10,286.775135
9.065375,10,286.806279
7.8673735,11,286.830697
6.837326,10,286.855279
6.5059247,11,286.906365
4.0000005,10,286.946187
8.479788,10,286.984328
8.152101,10,287.014741
2.362662,11,287.045431
8.154999,11,287.093414
9.929484,10,287.118596
5.694277,10,287.155744
8.673711,10,287.196596
7.9897456,11,287.244414
7.295544,10,287.282214
8.543477,11,287.33354
1.45,11,287.382675
5.0431037,9,287.432304
8.367405,11,287.491438
8.583223,11,287.518707
7.47752,11,287.54555
7.4343405,11,290.447974
7.95136,10,290.47577
8.977528,10,290.502844
8.220261,10,290.54108
2.810978,10,290.570122
4.045089,8,290.610146
7.901165,11,290.642598
6.9770393,10,290.68468
2.25,10,290.717718
9.88372,10,290.756191
7.9423294,10,290.807879
8.399909,10,290.844832
7.8251433,10,290.880442
6.2290516,11,290.909475
7.55549,9,290.93208
7.8791738,11,290.957895
0.95,10,290.982113
6.964042,10,291.026719
8.178642,11,291.068974
8.391605,11,291.106085
8.572641,10,291.138845
9.356055,11,291.174123
4.95,8,291.210648
1.9000001,9,291.245398
8.510791,11,291.271556
6.199501,11,291.297787
4.099652,10,291.324214
8.440841,11,291.362217
7.9852576,10,291.398358
4.9641685,11,291.438086
2.0167415,11,291.472112
7.6325026,10,291.512865
7.8497066,10,291.541748
0.0,11,291.593002
6.6906343,10,291.624082
5.252863,8,291.65406
4.224943,10,291.692275
7.865411,9,291.715126
7.014001,10,291.750581
1.6085572,9,291.782007
7.836569,9,291.808832
5.5338993,11,291.84547
3.8500001,9,291.870522
2.8199441,9,291.901419
4.9516993,11,291.929038
4.089561,10,291.963956
7.513247,11,292.011264
9.113901,11,292.047098
7.255387,10,292.077299
8.903436,10,292.115632
4.0091257,10,292.146527
9.635838,10,292.177884
7.1099124,10,292.209476
6.548437,11,292.260186
6.4273524,9,292.300515
4.8328104,10,292.333934
7.7852464,11,292.391342
5.365909,11,292.438296
8.212542,9,292.467942
8.891741,11,292.497145
8.788248,10,292.523718
7.97162,11,292.563784
7.412477,10,292.594468
9.1683,10,292.620142
8.775216,11,292.652701
8.725897,10,292.694539
8.388968,11,292.737626
8.0015545,10,292.773573
8.964937,9,292.81084
7.6222825,10,292.834995
7.3703957,10,292.862468
6.7455144,9,292.891459
5.1981955,11,292.923098
6.7602353,9,292.967111
1.6,8,293.015358
6.2566895,10,293.057499
8.3328705,10,293.093657
1.8164055,11,293.146912
8.746221,10,293.186564
8.156562,10,293.232296
9.905082,10,293.263788
4.5882053,10,293.296143
8.936982,9,293.35294
6.460001,10,293.406268
7.577688,9,293.457419
11.04862,11,293.50035
9.607051,10,293.533916
7.17257,10,293.574414
7.2250657,10,293.606095
1.9000001,10,293.640581
5.365622,10,293.671824
8.502915,10,293.707571
4.339246,11,293.765598
6.588653,11,293.798027
8.227334,10,293.833116
2.626688,9,293.858408
5.446285,10,293.883149
4.004021,10,293.90554
8.0259285,10,293.932632
9.052893,10,293.959209
4.3550763,10,293.983762
7.7278547,11,294.011143
5.984153,10,295.81573
6.8163743,10,295.880231
3.1659944,10,295.912347
9.740238,9,295.955476
8.3175745,10,295.979297
0.75000006,11,296.024216
2.9420512,11,296.062631
8.450219,10,296.09509
10.715194,10,296.140974
7.3754845,10,296.175047
5.084347,10,296.206356
1.1230063,10,296.240728
7.943799,10,296.277674
9.437862,10,296.314034
4.638178,11,296.354411
8.724465,10,296.401155
6.1658053,11,296.428227
4.1666803,11,296.476866
8.206844,11,296.51918
7.42279,11,296.544382
5.896305,10,296.57039
7.0175457,11,296.611435
7.9531074,11,296.649862
1.5748394,10,296.686488
7.1872673,11,296.732638
8.452487,11,296.774777
8.568888,10,296.8106
8.698046,10,296.851187
7.432742,10,296.881373
8.411309,10,296.920269
6.7731757,10,296.958667
2.3861341,10,296.993517
7.583418,11,297.034929
6.254224,11,297.064498
2.75,11,297.113509
8.974841,10,297.161335
2.680759,9,297.195551
7.1464653,11,297.234426
8.631524,10,297.281111
8.281778,10,297.328524
6.687071,10,297.355367
1.5,11,297.384919
5.0740237,10,297.426755
5.8570976,10,297.472178
6.2447433,10,297.502416
8.504233,10,297.531446
8.278025,10,297.559291
7.9101768,11,297.589987
8.264204,9,297.612982
2.39087,11,297.6439
7.9634657,9,297.676982
6.0741463,9,297.697959
6.106845,11,297.731315
8.881533,10,297.763397
8.402614,11,297.792934
8.452269,10,297.840354
6.7324452,11,297.877095
6.4341435,10,297.91757
10.204033,11,297.959048
2.4000003,10,297.994497
8.326052,11,298.035039
12.055105,10,298.072976
7.1525726,11,298.124119
6.32211,10,298.156906
6.2926874,10,298.19309
2.0500002,11,298.224195
8.233322,10,298.253678
9.671655,11,298.279284
5.4828434,10,298.304453
8.340113,10,298.326602
7.2733655,10,298.360193
6.50572,9,298.419682
7.0061264,11,298.455535
8.963799,11,298.488438
6.199343,9,298.514042
7.180593,11,298.540348
6.148113,10,298.566908
9.495126,10,298.591636
9.827292,10,298.615132
7.563505,11,298.639956
8.254328,9,298.662914
10.400144,10,298.689159
6.3695936,8,298.718149
6.1883883,10,298.752487
