#{"t_start": 1747523962.9248097, "env_id": "None"}
r,l,t
1.0999999,7,26.751621
8.30024,8,26.811643
1.15,7,26.86563
2.5500002,9,26.913659
1.2922529,11,26.9811
1.1,7,27.022508
3.7770808,11,27.094728
0.44999993,9,27.154003
1.8,7,27.1987
2.35,7,27.236109
2.95,8,27.282
2.3,8,27.321709
1.65,8,27.362406
1.7,8,27.408553
0.9499999,9,27.455206
1.05,8,27.499464
4.35,9,27.54241
0.35,10,27.593667
1.0,10,27.637024
5.7514124,10,27.688563
0.5,9,27.744277
0.54999995,8,27.788335
-1.4901161e-08,9,27.839166
3.5125036,10,27.922377
1.5999999,8,27.992521
2.7631474,10,28.080975
1.75,11,28.173668
1.15,7,28.221292
1.7500001,8,28.27698
5.731354,10,28.336658
4.935412,12,28.416209
3.0000002,10,28.483604
1.75,7,28.529734
1.05,8,28.598854
-0.35000002,10,28.677329
0.65,8,28.72081
3.4335256,8,28.776552
1.05,8,28.822585
1.8000001,7,28.869197
3.6000001,9,28.920349
1.8999999,7,28.958236
1.05,8,29.005386
2.8702993,9,29.06313
1.8499999,7,29.096305
4.3,10,29.148151
1.05,8,29.202426
2.15,10,29.256864
2.95,7,29.288073
1.75,7,29.321975
1.05,8,29.366631
4.5,8,29.42406
0.8999999,9,29.468805
0.45,9,29.512072
3.6000001,8,29.552242
1.15,7,29.597249
1.7,8,29.63504
1.0,9,29.680789
2.2,9,29.721757
2.4500003,10,29.784475
1.3000001,7,29.838092
1.65,9,29.913511
1.8499999,8,29.950898
1.4,10,30.001745
2.9500003,9,30.045073
0.49999988,8,30.083874
4.7,8,30.149901
7.0426245,10,30.212116
1.55,10,30.281972
1.8499999,7,30.333467
1.8,6,30.397904
3.271753,9,30.47429
1.05,8,30.524621
1.1999999,8,30.590348
3.076593,11,30.65502
1.2,8,30.713077
1.15,8,30.805617
2.0000002,10,30.887374
3.35,8,30.93877
1.0,8,30.996388
1.8,7,31.053034
0.75,10,31.101673
-0.25,9,31.150772
2.5500002,10,33.95666
2.3000002,8,34.013535
1.8,6,34.050528
1.6999999,7,34.087234
4.7562075,9,34.148866
1.3999999,8,34.209788
1.6499999,8,34.270323
4.25,7,34.308697
2.5,5,34.334156
3.788609,9,34.388216
2.5,5,34.411446
1.8500001,7,34.44952
1.9,7,34.493275
7.50982,10,34.560417
2.6,8,34.600313
5.5541873,10,34.668166
2.9000003,10,34.750697
1.55,8,34.829478
1.9,7,34.871601
1.4499999,11,34.95525
2.35,7,34.999008
3.0319338,10,35.071112
3.1,7,35.119253
3.05,6,35.152676
0.6499999,9,35.215482
4.796393,10,35.301564
1.5499998,7,35.345695
1.6999999,7,35.39152
2.35,7,35.451134
2.5,6,35.497143
6.492049,10,35.564769
3.6821423,9,35.605916
2.35,7,35.645741
2.35,8,35.691572
2.3,9,35.736232
2.35,6,35.76881
6.340022,9,35.831238
5.797427,11,35.90783
3.482081,10,35.960843
5.8625,11,36.01351
1.2,8,36.061359
1.6500001,10,36.124705
5.25,9,36.178689
1.15,7,36.221544
2.15,10,36.303321
1.65,9,36.355869
2.4,6,36.408978
5.7,8,36.455358
1.8,6,36.493747
0.54999995,9,36.558557
0.49999997,9,36.61537
2.3,8,36.657714
1.15,7,36.723581
1.7,7,36.775177
3.65,11,36.847554
3.6,7,36.88808
2.5,8,36.946146
1.5999999,7,37.003985
5.8340855,11,37.073625
1.7,8,37.115883
3.622047,9,37.178605
2.935969,9,37.237299
2.8,7,37.27305
2.6000001,9,37.315253
3.0540159,9,37.358645
1.2,7,37.389244
3.2399502,10,37.436286
4.55,8,37.481798
2.05,7,37.522023
1.0500001,9,37.578067
1.25,7,37.634542
0.84999996,10,37.731609
3.026639,10,37.814554
5.218226,7,37.869776
0.45000002,9,37.931261
4.076358,10,38.007549
4.1395607,8,38.058086
3.0,8,38.101723
1.1762667,11,38.16637
1.7500001,8,38.206672
6.9998755,11,38.266981
0.54999995,9,38.309639
3.2500002,8,38.351875
0.4,9,38.404708
1.8000001,9,38.461163
2.3753452,11,38.535045
1.85,6,38.56692
2.75,9,38.618067
0.7,9,38.659208
5.136201,10,38.714906
0.59999996,9,38.760478
-0.15,10,38.821467
1.9,6,38.878362
1.05,8,38.940611
2.0500002,9,39.012819
-0.25,10,39.09374
1.95,10,39.20277
2.8500001,8,39.26759
0.75,10,39.327291
1.75,8,39.371444
1.6999999,7,39.421946
3.05,7,39.466625
4.8206563,8,39.518035
5.6533875,10,39.568573
2.35,9,39.616485
1.6999999,7,39.656603
1.6999999,7,39.689524
6.35,10,39.739047
1.0,9,39.791729
5.6,10,39.874693
0.049999975,10,39.950607
2.25,7,40.003896
1.15,7,40.050623
3.6,8,40.106274
1.05,8,40.164392
5.5,10,40.237708
2.5,9,40.281261
2.25,10,40.327969
4.1000004,10,40.374921
2.95,7,40.405743
1.6500001,8,40.440493
1.2500001,9,43.123664
4.100046,10,43.186139
7.2922673,10,43.260083
7.810253,11,43.334781
1.95,7,43.372129
7.326139,9,43.417092
3.2010558,9,43.465104
3.935785,9,43.50966
5.023853,10,43.569938
1.734865,10,43.631768
1.8,7,43.673724
4.6862545,8,43.732937
3.3500001,7,43.773049
2.5399387,10,43.825145
4.1978264,10,43.878039
6.8535485,9,43.955813
1.15,9,44.00654
3.25,8,44.046216
3.0500002,8,44.086607
3.05,7,44.124489
3.9134128,9,44.16147
5.271784,9,44.213164
4.15,9,44.25987
6.2861567,8,44.326584
0.4499999,9,44.406125
1.8,8,44.456978
4.3500004,7,44.50358
3.7655883,9,44.559044
2.6,8,44.598768
7.1183763,10,44.649601
3.1000001,10,44.70422
4.8999996,9,44.77486
5.582703,11,44.849623
3.7203145,9,44.908104
1.5999999,8,44.967991
3.9646232,9,45.028421
4.991439,9,45.072399
6.31436,9,45.128013
5.7667503,9,45.185796
3.24674,9,45.24437
3.976067,10,45.291135
6.0853567,10,45.347204
2.4,9,45.425067
1.0999999,8,45.495635
3.3,8,45.552079
0.54999995,9,45.607135
2.35,7,45.660226
4.1943307,9,45.708589
1.0999999,8,45.76807
2.2117767,9,45.813151
2.7095838,9,45.865039
2.95,8,45.902877
3.6068664,10,45.998929
0.5999999,8,46.070882
2.5,8,46.138833
1.3000001,8,46.199808
4.148248,8,46.26264
3.0,8,46.313731
0.85,10,46.379352
1.85,6,46.421997
5.3500004,9,46.475135
1.25,8,46.514997
0.5,8,46.587637
2.5,8,46.654841
6.5131035,9,46.708643
2.45,9,46.770058
1.85,6,46.814207
3.433064,8,46.860929
5.004389,9,46.916015
5.0060215,9,46.976566
1.3,7,47.016885
3.6000001,10,47.073787
5.556621,9,47.1243
1.8,9,47.178857
6.7843933,10,47.244055
2.4,9,47.296388
2.75,9,47.361295
4.9098053,9,47.420992
4.1242194,9,47.478317
1.85,7,47.519521
1.8000001,8,47.577732
1.3000001,8,47.645784
3.8593552,10,47.727197
1.85,6,47.765079
2.3999999,7,47.816009
4.749261,10,47.882015
4.742092,10,47.961694
2.8000002,8,48.009019
3.2461994,10,48.070647
1.3000001,7,48.106406
3.35,8,48.15152
5.1916246,9,48.19936
5.5708847,9,48.243583
2.5,7,48.277802
2.9,9,48.334105
8.784159,11,48.412231
2.5,8,48.468443
1.45,9,48.515899
1.5499998,9,48.567734
4.387045,9,48.653493
3.0,8,48.767839
1.8499999,7,48.871926
3.758595,9,48.956737
3.05,10,49.034044
5.4500003,8,49.08834
5.8819394,11,49.183295
2.6,8,49.217383
5.9876676,9,49.264648
5.7392664,10,49.321958
1.55,9,49.363163
4.3309064,9,49.428664
3.682675,9,49.481189
1.3000002,9,49.53148
3.6000001,8,49.57534
5.0,8,49.612894
5.05,9,49.664834
2.9,8,49.715575
3.0262623,10,49.778515
0.50000006,9,52.751954
4.5227165,8,52.801471
5.547934,10,52.847316
1.8500001,8,52.880643
-0.25,10,52.926934
5.968747,10,52.977716
4.134001,10,53.054635
3.15,10,53.122072
4.545853,11,53.207181
5.1425524,9,53.270629
1.75,9,53.330813
2.4,10,53.387959
1.65,8,53.425539
1.6,9,53.471183
1.25,7,53.504104
3.25,10,53.554938
5.2865424,11,53.624743
4.1157627,11,54.923615
5.639973,10,54.976658
