steps,total_reward,max_alert_level,final_alert_level,total_data_exfiltrated,final_nodes_compromised,nodes_compromised_history,alert_level_history,data_exfiltrated_history,resources_left,action_distribution,model
10,5.103591848561199,0.05503591848561199,0.05503591848561199,0.05035918485611988,1,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.05, 0.05, 0.05, 0.05, 0.05202267077635908, 0.05377277770516238, 0.05400016766649292, 0.05503591848561199]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02022670776359077, 0.03772777705162378, 0.040001676664929126, 0.05035918485611988]",0,"[4, 1, 1, 0, 4, 0]",DQN
10,4.182203181768352,0.0053220318176835126,0.0053220318176835126,0.053220318176835126,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0024787138639529955, 0.0030227616981860083, 0.004063819310962957, 0.004997996395445626, 0.0053220318176835126]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.024787138639529954, 0.03022761698186008, 0.04063819310962957, 0.04997996395445626, 0.053220318176835126]",0,"[3, 1, 1, 0, 5, 0]",DQN
10,4.812810965442299,0.25612810965442306,0.25612810965442306,0.061281096544229884,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.1, 0.1, 0.25, 0.25, 0.25176263281119526, 0.2544130348057117, 0.25552250475705657, 0.25612810965442306]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017626328111952364, 0.044130348057116534, 0.05522504757056519, 0.061281096544229884]",0,"[2, 2, 2, 0, 4, 0]",DQN
10,1.85,0.0,0.0,0.0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,"[9, 1, 0, 0, 0, 0]",DQN
10,3.4524270383320577,0.3000242703833206,0.3000242703833206,0.00024270383320581135,1,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.3, 0.3, 0.3000242703833206]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00024270383320581135]",0,"[5, 1, 3, 0, 1, 0]",DQN
10,0.050000000000000044,0.05,0.0,0.0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.05, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1,"[9, 0, 0, 0, 0, 1]",DQN
10,0.050000000000000044,0.0,0.0,0.0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1,"[9, 0, 0, 0, 0, 1]",DQN
10,1.45,0.25,0.25,0.0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.25]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,"[7, 2, 1, 0, 0, 0]",DQN
10,1.9500000000000002,0.0,0.0,0.0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,"[9, 1, 0, 0, 0, 0]",DQN
10,0.050000000000000044,0.05,0.0,0.0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1,"[9, 0, 0, 0, 0, 1]",DQN
10,1.3499999999999999,0.3,0.3,0.0,1,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,"[7, 1, 2, 0, 0, 0]",DQN
10,0.050000000000000044,0.0,0.0,0.0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1,"[9, 0, 0, 0, 0, 1]",DQN
